WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200112203,urn:lsid:ipni.org:names:77373433-1,Hieracium alpinum subsp. halleri,(Vill.) Ces.,Not. Nat. Civ. Lombardia 1: 304. 1884 ,Hieracium,,Asteraceae Hieracium halleri Vill.,(Vill.)
wfo-1200066789,urn:lsid:ipni.org:names:77373434-1,Hieracium alpinum subsp. marcelli,Palez. & Zahn,"Bull. Soc. Bot. Genève sér. 2, 16: 175. 1925 ",Hieracium,,,
wfo-1200066790,urn:lsid:ipni.org:names:77373435-1,Hieracium alpinum subsp. melanocephalum,(Tausch) Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 2(12): 1840. 1901 [Sep 1901] ",Hieracium,,Asteraceae Hieracium melanocephalum Tausch,(Tausch)
wfo-1200066793,urn:lsid:ipni.org:names:77373438-1,Hieracium amplexicaule subsp. neopetraeum,Zahn,"Pflanzenr. (Engler) IV, 280: 728. 1921 ",Hieracium,,,
wfo-0000004452,urn:lsid:ipni.org:names:77373439-1,Hieracium hololeucum,Arv.-Touv. & A.Faure,Hieracioth. Gall. 15: no. 1351. 1904 ,Hieracium,,,
wfo-0000076856,urn:lsid:ipni.org:names:77373440-1,Hieracium aphyllum subsp. hololeucum,(Arv.-Touv. & A.Faure) Zahn,"Pflanzenr. (Engler) IV, 280: 137. 1921 ",Hieracium,,Asteraceae Hieracium hololeucum Arv.-Touv. & A.Faure,(Arv.-Touv. & A.Faure)
wfo-0000090056,urn:lsid:ipni.org:names:77373441-1,Hieracium aphyllum subsp. singulare,(Zahn) Zahn,Icon. Fl. Germ. Helv. (H.G.L. Reichenbach) 19(2): 69. 1906 ,Hieracium,,Asteraceae Hieracium singulare Zahn,(Zahn)
wfo-1200066797,urn:lsid:ipni.org:names:77373442-1,Hieracium argothrix subsp. anisodon,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 304. 1889 ,Hieracium,,,
wfo-1200066798,urn:lsid:ipni.org:names:77373443-1,Hieracium argothrix subsp. candidulum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 306. 1889 ,Hieracium,,,
wfo-1200066799,urn:lsid:ipni.org:names:77373444-1,Hieracium argothrix subsp. pleiobrachion,Zahn,Hierac. Alp. Mar. 247. 1916 ,Hieracium,,,
wfo-1200066800,urn:lsid:ipni.org:names:77373445-1,Hieracium armerioides subsp. collae,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 75): 139. 1921 ",Hieracium,,,
wfo-0000097388,urn:lsid:ipni.org:names:77373447-1,Hieracium nigritellum subsp. hololeptomorphum,Zahn,Hierac. Alp. Mar. 132. 1916 [Dec 1916] ,Hieracium,,,
wfo-0000018292,urn:lsid:ipni.org:names:77373448-1,Hieracium armerioides subsp. hololeptomorphum,(Zahn) Zahn,"Pflanzenr. (Engler) VI, 280(Heft 75): 138. 1921 [4 Feb 1921] ",Hieracium,,Asteraceae Hieracium nigritellum Arv.-Touv. subsp. hololeptomorphum Zahn,(Zahn)
wfo-1200116493,urn:lsid:ipni.org:names:77373449-1,Hieracium cirritum [infrasp.unranked] rhombophyllum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 262. 1889 ,Hieracium,,,
wfo-0000090483,urn:lsid:ipni.org:names:77373450-1,Hieracium armerioides subsp. rhombophyllum,(Nägeli & Peter) Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 298. 1905 ",Hieracium,,Asteraceae Hieracium cirritum Arv.-Touv. [infrasp.unranked] rhombophyllum Nägeli & Peter,(Nägeli & Peter)
wfo-0000102370,urn:lsid:ipni.org:names:77373467-1,Hieracium nigritellum subsp. seirasicum,Zahn,Hierac. Alp. Mar. 131. 1916 ,Hieracium,,,
wfo-0000056849,urn:lsid:ipni.org:names:77373468-1,Hieracium armerioides subsp. seirasicum,(Zahn) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 75): 140. 1921 ",Hieracium,,Asteraceae Hieracium nigritellum Arv.-Touv. subsp. seirasicum Zahn,(Zahn)
wfo-1200066802,urn:lsid:ipni.org:names:77373469-1,Hieracium armerioides subsp. siphonophorum,Wilczek & Zahn,Bull. Murith. Soc. Valais. Sci. Nat. 42: 190. 1925 ,Hieracium,,,
wfo-0000103812,urn:lsid:ipni.org:names:77373470-1,Hieracium murrianum subsp. arolae,Murr,Deutsche Bot. Monatsschr. 16: 5. 1898 ,Hieracium,,,
wfo-0000002110,urn:lsid:ipni.org:names:77373471-1,Hieracium arolae,(Murr) Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1848. 1901 ",Hieracium,,Asteraceae Hieracium murrianum Arv.-Touv. ex Murr subsp. arolae Murr,(Murr)
wfo-1200066803,urn:lsid:ipni.org:names:77373472-1,Hieracium arpadianum subsp. sellanum,Zahn,Hierac. Alp. Mar. 327. 1916 ,Hieracium,,,
wfo-1200066804,urn:lsid:ipni.org:names:77373473-1,Hieracium arpadianum subsp. subscariolaceum,Zahn,Hierac. Alp. Mar. 327. 1916 ,Hieracium,,,
wfo-1200066813,urn:lsid:ipni.org:names:77373474-1,Hieracium atratum subsp. neohayekii,Zahn,"Ill. Fl. Mitt.-Eur. 6(2): 1311. 1929 [May 1929] , as 'neo-Hayékii'",Hieracium,,,
wfo-1200066814,urn:lsid:ipni.org:names:77373476-1,Hieracium atratum subsp. pseudoleicolor,Fen. & Zahn,Beibl. Bot. Jahrb. Syst. 135: 29. 1925 ,Hieracium,,,
wfo-1200066819,urn:lsid:ipni.org:names:77373478-1,Hieracium bastrerianum subsp. pramolicum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 79): 934. 1922 ",Hieracium,,,
wfo-0000102221,urn:lsid:ipni.org:names:77373479-1,Hieracium caesium subsp. pseudobenzianum,Dalla Torre & Sarnth.,"Fl. Tirol 6(3): 868. 1911 [Nov-Dec 1911] , as 'pseudo-Benzianum'",Hieracium,,,
wfo-0000084636,urn:lsid:ipni.org:names:77373480-1,Hieracium benzianum subsp. pseudobenzianum,(Dalla Torre & Sarnth.) Zahn,"Pflanzenr. (Engler) IV, 280: 506. 1921 ",Hieracium,,Asteraceae Hieracium caesium (Fr.) Fr. subsp. pseudobenzianum Dalla Torre & Sarnth.,(Dalla Torre & Sarnth.)
wfo-0000092834,urn:lsid:ipni.org:names:77373481-1,Hieracium benzianum subsp. vulgatifolium,(Zahn) Zahn,"Pflanzenr. (Engler) IV, 280: 507. 1921 ",Hieracium,,Asteraceae Hieracium ausserdorferi Hausm. ex Oborny subsp. vulgatiflorum Zahn,(Zahn)
wfo-1200066824,urn:lsid:ipni.org:names:77373482-1,Hieracium bifidum subsp. basicuneatifolium,(Dalla Torre & Sarnth.) Müll.Dornst.,Mitt. Vereins Naturwiss. Math. Ulm. 20: 29. 1931 ,Hieracium,,Asteraceae Hieracium psammogenes (Zahn) Zahn var. basicuneatifolium Dalla Torre & Sarnth.,(Dalla Torre & Sarnth.)
wfo-1200116494,urn:lsid:ipni.org:names:77373483-1,Hieracium bifidum [infrasp.unranked] basicuneatum,Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 286. 1905 ",Hieracium,,,
wfo-0000062013,urn:lsid:ipni.org:names:77373484-1,Hieracium bifidum subsp. basicuneatum,(Zahn) Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 413. 1906 ,Hieracium,,Asteraceae Hieracium bifidum Kit. ex Hornem. [infrasp.unranked] basicuneatum Zahn,(Zahn)
wfo-1200066825,urn:lsid:ipni.org:names:77373489-1,Hieracium bifidum subsp. bifidipraecox,Fen. & Zahn,Beibl. Bot. Jahrb. Syst. 135: 28. 1925 ,Hieracium,,,
wfo-1200066827,urn:lsid:ipni.org:names:77373490-1,Hieracium bifidum subsp. bolognense,Zahn,Notizbl. Bot. Gart. Berlin-Dahlem 9: 418. 1925 ,Hieracium,,,
wfo-1200066829,urn:lsid:ipni.org:names:77373491-1,Hieracium bifidum subsp. caesioprasinum,Zahn,Syn. Mitteleur. Fl. 12(2): 614. 1934 ,Hieracium,,,
wfo-0000104860,urn:lsid:ipni.org:names:77373492-1,Hieracium bifidum subsp. cordigerum,(Norrl.) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 427. 1921 ",Hieracium,,Asteraceae Hieracium murorum L. subsp. cordigerum Norrl.,(Norrl.)
wfo-1200116433,urn:lsid:ipni.org:names:77373493-1,Hieracium dolomiticum,Hausm.,"Führer Deut. Pfl., ed. 2. 441. 1881 ",Hieracium,,,
wfo-0000060740,urn:lsid:ipni.org:names:77373494-1,Hieracium bifidum subsp. dolomiticum,(Hausm.) Dalla Torre & Sarnth.,Fl. Tirol 6(3): 835. 1911 ,Hieracium,,Asteraceae Hieracium dolomiticum Hausm.,(Hausm.)
wfo-1200066833,urn:lsid:ipni.org:names:77373495-1,Hieracium bifidum subsp. fenarolii,P.Rossi & Zahn,Syn. Mitteleur. Fl. 12(2): 636. 1934 ,Hieracium,,,
wfo-1200066835,urn:lsid:ipni.org:names:77373496-1,Hieracium bifidum subsp. gardetanum,P.Rossi & Zahn,Syn. Mitteleur. Fl. 12(2): 635. 1934 ,Hieracium,,,
wfo-0000110095,urn:lsid:ipni.org:names:77373497-1,Hieracium incisum subsp. laceridens,Murr ex Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 3: 1800. 1901 ",Hieracium,,,
wfo-0000108936,urn:lsid:ipni.org:names:77373498-1,Hieracium bifidum subsp. laceridens,(Murr ex Zahn) Zahn,"Pflanzenr. (Engler) IV, 280: 433. 1921 ",Hieracium,,Asteraceae Hieracium incisum Hoppe subsp. laceridens Murr ex Zahn,(Murr ex Zahn)
wfo-1200066839,urn:lsid:ipni.org:names:77373499-1,Hieracium bifidum subsp. megalocalathium,P.Rossi & Zahn,Syn. Mitteleur. Fl. 12(2): 625. 1934 ,Hieracium,,,
wfo-0000099221,urn:lsid:ipni.org:names:77373500-1,Hieracium psammogenes subsp. oreitiforme,Zahn,Hierac. Alp. Mar. 187. 1916 ,Hieracium,,,
wfo-1200066844,urn:lsid:ipni.org:names:77373501-1,Hieracium bifidum subsp. poliomelanum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 423. 1921 ",Hieracium,,,
wfo-1200116435,urn:lsid:ipni.org:names:77373506-1,Hieracium psammogenes f. pseudobasicuneatum,Touton ex Dalla Torre & Sarnth.,Fl. Tirol 6(3): 855. 1911 [Nov-Dec 1911] ,Hieracium,,,
wfo-0000081069,urn:lsid:ipni.org:names:77373608-1,Hieracium segureum subsp. cirritiforme,Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 650. 1906 ,Hieracium,,,
wfo-1200067370,urn:lsid:ipni.org:names:77373609-1,Hieracium segureum subsp. exilentoides,Zahn,Hierac. Alp. Mar. 313. 1916 [Dec 1916] ,Hieracium,,,
wfo-1200067371,urn:lsid:ipni.org:names:77373610-1,Hieracium segureum subsp. rivifrigidi,Zahn,Hierac. Alp. Mar. 313. 1916 [Dec 1916] ,Hieracium,,,
wfo-1200067378,urn:lsid:ipni.org:names:77373611-1,Hieracium × serratum subsp. schwarzii,K.Harz & Zahn,Ill. Fl. Mitt.-Eur. 6: 1316. 1929 [May 1929] ,Hieracium,,,
wfo-1200067382,urn:lsid:ipni.org:names:77373612-1,Hieracium simia subsp. subincertum,Zahn,"Pflanzenr. (Engler) IV, 280: 694. 1921 [18 Oct 1921] ",Hieracium,,,
wfo-0000076957,urn:lsid:ipni.org:names:77373613-1,Hieracium spectabile,Fr. ex Arv.-Touv.,"Ann. Soc. Linn. Lyon sér. 2, 34: 26. 1888 ",Hieracium,,,
wfo-1200067409,urn:lsid:ipni.org:names:77373614-1,Hieracium tephropogon subsp. subintermedium,Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1820. 1901 [Sep 1901] ",Hieracium,,,
wfo-0000102837,urn:lsid:ipni.org:names:77373615-1,Hieracium umbellatum subsp. brevifolioides,Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 683. 1906 ,Hieracium,,,
wfo-1200067418,urn:lsid:ipni.org:names:77373616-1,Hieracium umbrosum subsp. mindinoicum,Zahn,Hierac. Alp. Mar. 297. 1916 [Dec 1916] ,Hieracium,,,
wfo-1200067421,urn:lsid:ipni.org:names:77373617-1,Hieracium umbrosum subsp. visaillense,Palez. & Zahn,"Bull. Soc. Bot. Genève sér. 2, 17: 357. 1925 [15 Apr 1925] ",Hieracium,,,
wfo-1200067423,urn:lsid:ipni.org:names:77373618-1,Hieracium urticaceum subsp. amplexicauliforme,Zahn,Ill. Fl. Mitt.-Eur. 6: 1319. 1929 [May 1929] ,Hieracium,,,
wfo-0000019053,urn:lsid:ipni.org:names:77373619-1,Hieracium verbascifolium,Vill.,Préc. Voy. Bot. 56. 1812 [4 Jun 1812] ,Hieracium,,,
wfo-1200067433,urn:lsid:ipni.org:names:77373620-1,Hieracium verbascifolium subsp. mallobrachion,Zahn,Hierac. Alp. Mar. 245. 1916 [Dec 1916] ,Hieracium,,,
wfo-1200067434,urn:lsid:ipni.org:names:77373621-1,Hieracium villosum subsp. albolanatum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 101. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000049908,urn:lsid:ipni.org:names:77373622-1,Hieracium villosum subsp. calvifolium,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 103. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000055449,urn:lsid:ipni.org:names:77373623-1,Hieracium villosum subsp. heterophyllum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 93. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000058614,urn:lsid:ipni.org:names:77373624-1,Hieracium villosum subsp. ovalifolium,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 101. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000057187,urn:lsid:ipni.org:names:77373625-1,Hieracium villosum subsp. undulifolium,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 99. 1886 [Aug 1886] ,Hieracium,,,
wfo-1200067439,urn:lsid:ipni.org:names:77373626-1,Hieracium viscosum subsp. lactucoides,Zahn,Hierac. Alp. Mar. 321. 1916 [Dec 1916] ,Hieracium,,,
wfo-1200067442,urn:lsid:ipni.org:names:77373627-1,Hieracium viscosum subsp. viscosiforme,Zahn,Hierac. Alp. Mar. 320. 1916 [Dec 1916] ,Hieracium,,,
wfo-0000110916,urn:lsid:ipni.org:names:77373628-1,Hieracium vollmannii subsp. grimsulicola,Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 563. 1906 ,Hieracium,,,
wfo-1200067455,urn:lsid:ipni.org:names:77373629-1,Hieracium wilczekianum subsp. trigonolepium,Zahn,"Pflanzenr. (Engler) IV, 280: 127. 1921 [18 Oct 1921] ",Hieracium,,,
wfo-0000064744,urn:lsid:ipni.org:names:77373632-1,Hieracium christii,Arv.-Touv.,Spicil. Rar. Hierac. 44. 1886 [Mar 1886] ,Hieracium,,,
wfo-0000098545,urn:lsid:ipni.org:names:77373633-1,Hieracium ochroleucum subsp. grimsulanum,Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 338. 1905 [Sep 1905] ",Hieracium,,,
wfo-0000133951,urn:lsid:ipni.org:names:77373635-1,Hieracium picroides subsp. grimsulanum,(Zahn) Zahn,"Fl. Schweiz (Schinz), ed. 3. 2: 486. 1914 [Jul 1914] ",Hieracium,,Asteraceae Hieracium ochroleucum Schleich. ex Hoppe subsp. grimsulanum Zahn,(Zahn)
wfo-1200040941,urn:lsid:ipni.org:names:77373636-1,Hieracium porrectum subsp. elongatiforme,(Zahn) Zahn,"Pflanzenr. (Engler) IV, 280: 125. 1921 [4 Feb 1921] ",Hieracium,,Asteraceae Hieracium × subelongatum Nägeli & Peter subsp. elongatiforme Zahn,(Zahn)
wfo-1200040942,urn:lsid:ipni.org:names:77373637-1,Hieracium porrectum subsp. subelongatum,(Nägeli & Peter) Zahn,"Pflanzenr. (Engler) IV, 280: 125. 1921 [4 Feb 1921] ",Hieracium,,Asteraceae Hieracium × subelongatum Nägeli & Peter,(Nägeli & Peter)
wfo-0000111861,urn:lsid:ipni.org:names:77373640-1,Hieracium illyricum subsp. prediliense,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 60. 1886 [Mar 1886] ,Hieracium,,,
wfo-0000069117,urn:lsid:ipni.org:names:77373641-1,Hieracium lanceolatum subsp. juvonis,Murr,Oesterr. Bot. Z. 53: 423. 1903 ,Hieracium,,,
wfo-0000102745,urn:lsid:ipni.org:names:77373642-1,Hieracium prenanthoides subsp. juvonis,(Murr) Zahn,"Pflanzenr. (Engler) IV, 280: 757. 1921 [18 Oct 1921] ",Hieracium,,Asteraceae Hieracium lanceolatum Vill. subsp. juvonis Murr,(Murr)
wfo-0000108531,urn:lsid:ipni.org:names:77373644-1,Hieracium prenanthoides subsp. transalpinum,(Arv.-Touv.) Zahn,"Pflanzenr. (Engler) IV, 280: 757. 1921 [18 Oct 1921] ",Hieracium,,Asteraceae Hieracium transalpinum Arv.-Touv.,(Arv.-Touv.)
wfo-1200067335,urn:lsid:ipni.org:names:77373661-1,Hieracium pseudostenoplecum subsp. ochroleuciforme,Murr & Zahn,Oesterr. Bot. Z. 53: 425. 1903 ,Hieracium,,,
wfo-0000097201,urn:lsid:ipni.org:names:77373664-1,Hieracium racemosum subsp. stiriacum,(A.Kern. ex Willk.) Zahn,Magyar Bot. Lapok 25: 391. 1927 ,Hieracium,,Asteraceae Hieracium stiriacum A.Kern. ex Willk.,(A.Kern. ex Willk.)
wfo-0000102874,urn:lsid:ipni.org:names:77373665-1,Hieracium racemosum subsp. tenuifolium,(Host) Zahn,Syn. Mitteleur. Fl. 12(3): 612. 1838 [2 May 1838] ,Hieracium,,Asteraceae Hieracium tenuifolium Host,(Host)
wfo-1200116436,urn:lsid:ipni.org:names:77373668-1,Hieracium rapunculoides var. contractum,Arv.-Touv.,"Ann. Soc. Linn. Lyon sér. 2, 34: 88. 1888 ",Hieracium,,,
wfo-0000030386,urn:lsid:ipni.org:names:77373669-1,Hieracium rapunculoides subsp. contractum,(Arv.-Touv.) Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 653. 1906 ,Hieracium,,Asteraceae Hieracium rapunculoides Arv.-Touv. var. contractum Arv.-Touv.,(Arv.-Touv.)
wfo-1200116437,urn:lsid:ipni.org:names:77373670-1,Hieracium × silsinum var. subsilsinum,Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1854. 1901 [Sep 1901] ",Hieracium,,,
wfo-0000101811,urn:lsid:ipni.org:names:77373671-1,Hieracium symphytaceum subsp. neoprenanthes,(Arv.-Touv.) Zahn,Hierac. Alp. Mar. 353. 1916 [Dec 1916] ,Hieracium,,Asteraceae Hieracium neoprenanthes Arv.-Touv.,(Arv.-Touv.)
wfo-0000058749,urn:lsid:ipni.org:names:77373672-1,Hieracium symphytaceum subsp. sarracenicum,(Arv.-Touv. & Belli) Zahn,Hierac. Alp. Mar. 357. 1916 [Dec 1916] ,Hieracium,,Asteraceae Hieracium sarracenicum Arv.-Touv. & Belli,(Arv.-Touv. & Belli)
wfo-0000044541,urn:lsid:ipni.org:names:77373677-1,Hieracium odontinum,Arv.-Touv. ex Belli,Fl. Anal. Italia 3: 499. 1904 [Apr 1904] ,Hieracium,,,
wfo-0000097313,urn:lsid:ipni.org:names:77373679-1,Hieracium symphytaceum subsp. odontinum,(Arv.-Touv. ex Belli) Zahn,Hierac. Alp. Mar. 356. 1916 [Dec 1916] ,Hieracium,,Asteraceae Hieracium odontinum Arv.-Touv. ex Belli,(Arv.-Touv. ex Belli)
wfo-0000103817,urn:lsid:ipni.org:names:77373680-1,Hieracium tomentosum subsp. phlomidifolium,(Arv.-Touv.) Nägeli & Peter,Hierac. Mitt.-Eur. 2: 281. 1889 [Aug 1889] ,Hieracium,,Asteraceae Hieracium phlomidifolium Arv.-Touv.,(Arv.-Touv.)
wfo-1200111090,urn:lsid:ipni.org:names:77373682-1,Hieracium integrifolium subsp. acrotephrophorum,Zahn,"Fl. Schweiz (Schinz), ed. 3. 2: 480. 1914 [Jul 1914] ",Hieracium,,,
wfo-1200067415,urn:lsid:ipni.org:names:77373683-1,Hieracium umbrosum subsp. acrotephrophorum,(Zahn) Zahn,"Pflanzenr. (Engler) IV, 280: 791. 1921 [18 Oct 1921] ",Hieracium,,Asteraceae Hieracium integrifolium Hoppe ex Willd. subsp. acrotephrophorum Zahn,(Zahn)
wfo-1200111093,urn:lsid:ipni.org:names:77373684-1,Hieracium integrifolium var. subexilentum,Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 641. 1906 ,Hieracium,,,
wfo-1200067420,urn:lsid:ipni.org:names:77373685-1,Hieracium umbrosum subsp. subexilentum,(Zahn) Zahn,Hierac. Alp. Mar. 303. 1916 [Dec 1916] ,Hieracium,,Asteraceae Hieracium integrifolium Hoppe ex Willd. var. subexilentum Zahn,(Zahn)
wfo-0000098226,urn:lsid:ipni.org:names:77373687-1,Hieracium elongatum subsp. calvulum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 219. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000088786,urn:lsid:ipni.org:names:77373688-1,Hieracium valdepilosum subsp. calvulum,(Nägeli & Peter) Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1868. 1901 [Sep 1901] ",Hieracium,,Asteraceae Hieracium elongatum Lapeyr. subsp. calvulum Nägeli & Peter,(Nägeli & Peter)
wfo-0000076124,urn:lsid:ipni.org:names:77373691-1,Hieracium interjectum,Beck,Fl. Hernstein 129. 1884 ,Hieracium,,,
wfo-0000101260,urn:lsid:ipni.org:names:77373692-1,Hieracium valdepilosum subsp. interjectum,(Beck) Zahn,"Pflanzenr. (Engler) IV, 280: 120. 1921 [4 Feb 1921] ",Hieracium,,Asteraceae Hieracium interjectum Beck,(Beck)
wfo-0000081474,urn:lsid:ipni.org:names:77373693-1,Hieracium elongatum subsp. oligophyllum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 220. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000103023,urn:lsid:ipni.org:names:77373695-1,Hieracium valdepilosum subsp. oligophyllum,(Nägeli & Peter) Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 1868. 1901 [Sep 1901] ",Hieracium,,Asteraceae Hieracium elongatum Lapeyr. subsp. oligophyllum Nägeli & Peter,(Nägeli & Peter)
wfo-0000101045,urn:lsid:ipni.org:names:77373696-1,Hieracium kerneri subsp. austroitalicum,Zahn,Allg. Bot. Z. Syst. 7: 146. 1901 ,Hieracium,,,
wfo-0000105359,urn:lsid:ipni.org:names:77373697-1,Hieracium valoddae subsp. austroitalicum,(Zahn) Zahn,"Pflanzenr. (Engler) IV, 280: 620. 1921 [18 Oct 1921] ",Hieracium,,Asteraceae Hieracium kerneri Ausserd. ex Zahn subsp. austroitalicum Zahn,(Zahn)
wfo-1000087129,urn:lsid:ipni.org:names:77374041-1,Ixeridium morrisonense,S.S.Ying,New Taxa New Names 8: 463. 2025 [30 Nov 2025] [epublished],Ixeridium,,,
wfo-1200116498,urn:lsid:ipni.org:names:77374205-1,Pilosella florentina [infrasp.unranked] pavichii,(Heuff.) Arv.-Touv.,Bull. Soc. Dauphin. Échange Pl. 282. 1880 ,Pilosella,,Asteraceae Hieracium pavichii Heuff.,(Heuff.)
wfo-1000087213,urn:lsid:ipni.org:names:77374268-1,Hieracium gulianum,Haveman & De Ronde,Gorteria 47: 75. 2025 [23 Sep 2025] [epublished],Hieracium,,,
wfo-0000095419,urn:lsid:ipni.org:names:77374450-1,Hieracium murorum subsp. cordigerum,Norrl.,Acta Soc. Fauna Fl. Fenn. 3(4): 94. 1888 ,Hieracium,,,
wfo-0000106624,urn:lsid:ipni.org:names:77374456-1,Hieracium vollmannii subsp. squalidiforme,Murr & Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 3: 1853. 1901 ",Hieracium,,,
wfo-1200066848,urn:lsid:ipni.org:names:77374457-1,Hieracium bifidum subsp. pseudobasicuneatum,(Touton ex Dalla Torre & Sarnth.) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 434. 1921 ",Hieracium,,Asteraceae Hieracium psammogenes Omang f. pseudobasicuneatum Touton ex Dalla Torre & Sarnth.,(Touton ex Dalla Torre & Sarnth.)
wfo-0000078953,urn:lsid:ipni.org:names:77374458-1,Hieracium bifidum subsp. pseudosemisilvaticum,(Touton ex Dalla Torre & Sarnth.) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 435. 1921 ",Hieracium,,Asteraceae Hieracium pseudosemisilvaticum Touton ex Dalla Torre & Sarnth.,(Touton ex Dalla Torre & Sarnth.)
wfo-0000094464,urn:lsid:ipni.org:names:77374459-1,Hieracium picroides subsp. christii,(Arv.-Touv.) Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 661. 1906 ,Hieracium,,Asteraceae Hieracium christii Arv.-Touv.,(Arv.-Touv.)
