WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089013,urn:lsid:ipni.org:names:77377604-1,Polygalaceae,Heterosamara obliqua,(Pendry) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 25. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala obliqua Pendry,(Pendry)
wfo-1000089014,urn:lsid:ipni.org:names:77377605-1,Polygalaceae,Heterosamara oreotrephes,(B.L.Burtt) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 25. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala oreotrephes B.L.Burtt,(B.L.Burtt)
wfo-1000089015,urn:lsid:ipni.org:names:77377606-1,Polygalaceae,Heterosamara pyroloides,(Gagnep.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 25. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala pyroloides Gagnep.,(Gagnep.)
wfo-1000089016,urn:lsid:ipni.org:names:77377607-1,Polygalaceae,Heterosamara dunniana,(H.Lév.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 27. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala dunniana H.Lév.,(H.Lév.)
wfo-1000089017,urn:lsid:ipni.org:names:77377608-1,Polygalaceae,Heterosamara hainanensis,(Chun & F.C.How) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 27. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala hainanensis Chun & F.C.How,(Chun & F.C.How)
wfo-1200117718,urn:lsid:ipni.org:names:77377609-1,Polygalaceae,Heterosamara hainanensis var. strigosa,(Chun & F.C.How) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 27. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala hainanensis Chun & F.C.How var. strigosa Chun & F.C.How,(Chun & F.C.How)
wfo-1000089018,urn:lsid:ipni.org:names:77377610-1,Polygalaceae,Heterosamara karensium,(Kurz) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 29. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala karensium Kurz,(Kurz)
wfo-1000089019,urn:lsid:ipni.org:names:77377611-1,Polygalaceae,Heterosamara koi,(Merr.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 29. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala koi Merr.,(Merr.)
wfo-1000089020,urn:lsid:ipni.org:names:77377612-1,Polygalaceae,Heterosamara lancilimba,(Merr.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 29. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala lancilimba Merr.,(Merr.)
wfo-1000089021,urn:lsid:ipni.org:names:77377613-1,Polygalaceae,Heterosamara latouchei,(Franch.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 31. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala latouchei Franch.,(Franch.)
wfo-1000089022,urn:lsid:ipni.org:names:77377614-1,Polygalaceae,Heterosamara tamdaoensis,(H.V.Lai & T.V.Do) J.F.B.Pastore & Agust.Martinez,Ann. Missouri Bot. Gard. 111(1): 31. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala tamdaoensis H.V.Lai & T.V.Do,(H.V.Lai & T.V.Do)
wfo-1000089023,urn:lsid:ipni.org:names:77377615-1,Polygalaceae,Heterosamara wuzhishanensis,(S.K.Chen & J.Parn.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 31. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala wuzhishanensis S.K.Chen & J.Parn.,(S.K.Chen & J.Parn.)
wfo-1000089024,urn:lsid:ipni.org:names:77377616-1,Polygalaceae,Heterosamara perdurans,(Pendry) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 31. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala perdurans Pendry,(Pendry)
wfo-4100006480,urn:lsid:ipni.org:names:77377617-1,Polygalaceae,Paivanthus,J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 34. 2026 [6 Mar 2026] ,Paivanthus,,,
wfo-1000089025,urn:lsid:ipni.org:names:77377618-1,Polygalaceae,Paivanthus bennae,(Jacq.-Fél.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 34. 2026 [6 Mar 2026] ,Paivanthus,,Polygalaceae Polygala bennae Jacq.-Fél.,(Jacq.-Fél.)
wfo-1000089026,urn:lsid:ipni.org:names:77377619-1,Polygalaceae,Paivanthus cabrae,(Chodat) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 37. 2026 [6 Mar 2026] ,Paivanthus,,Polygalaceae Polygala cabrae Chodat,(Chodat)
wfo-1000089027,urn:lsid:ipni.org:names:77377620-1,Polygalaceae,Paivanthus carrissoanus,(Exell & Mendonça) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 37. 2026 [6 Mar 2026] ,Paivanthus,,Polygalaceae Polygala carrissoana Exell & Mendonça,(Exell & Mendonça)
wfo-1000089028,urn:lsid:ipni.org:names:77377621-1,Polygalaceae,Paivanthus engleri,(Chodat) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 37. 2026 [6 Mar 2026] ,Paivanthus,,Polygalaceae Polygala engleri Chodat,(Chodat)
wfo-1000089029,urn:lsid:ipni.org:names:77377622-1,Polygalaceae,Paivanthus galpinii,(Hook.f.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 37. 2026 [6 Mar 2026] ,Paivanthus,,Polygalaceae Polygala galpinii Hook.f.,(Hook.f.)
wfo-1000089030,urn:lsid:ipni.org:names:77377623-1,Polygalaceae,Paivanthus mannii,(Oliv.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 37. 2026 [6 Mar 2026] ,Paivanthus,,Polygalaceae Polygala mannii Oliv.,(Oliv.)
wfo-1200117719,urn:lsid:ipni.org:names:77377624-1,Polygalaceae,Heterosamara karensium var. obcordata,(C.Y.Wu & S.K.Chen) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 29. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala tricornis Gagnep. var. obcordata C.Y.Wu & S.K.Chen,(C.Y.Wu & S.K.Chen)
wfo-1200117782,urn:lsid:ipni.org:names:77377625-1,Polygalaceae,Heterosamara sect. Saxicola,(S.K.Chen) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 27. 2026 [6 Mar 2026] ,Heterosamara,,Polygalaceae Polygala sect. Saxicola S.K.Chen,(S.K.Chen)
wfo-1000089031,urn:lsid:ipni.org:names:77377626-1,Polygalaceae,Heterosamara sect. Ecristata,J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 25. 2026 [6 Mar 2026] ,Heterosamara,,,
wfo-1200117720,urn:lsid:ipni.org:names:77377631-1,Polygalaceae,Chodatia globulifera var. longiracemosa,(S.K.Chen) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala globulifera Dunn var. longiracemosa S.K.Chen,(S.K.Chen)
wfo-1000089035,urn:lsid:ipni.org:names:77377632-1,Polygalaceae,Chodatia fallax,(Hemsl.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala fallax Hemsl.,(Hemsl.)
wfo-1200117721,urn:lsid:ipni.org:names:77377633-1,Apiaceae,Angelica sylvestris var. rumelica,Griseb.,Spic. Fl. Rumel. 1: 371. 1843 ,Angelica,,,
wfo-1000089036,urn:lsid:ipni.org:names:77377634-1,Polygalaceae,Heterosamara sect. Spathulata,J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 31. 2026 [6 Mar 2026] ,Heterosamara,,,
wfo-1000089037,urn:lsid:ipni.org:names:77377636-1,Myrsinaceae,Sadiria kachinensis,Utteridge & Nob.Tanaka,Phytotaxa 744(3): 206. 2026 [10 Mar 2026] ,Sadiria,,,
wfo-1000089038,urn:lsid:ipni.org:names:77377637-1,Convallariaceae,Ophiopogon wangii,"Ting Xu, S.X.Yu & H.Z.Feng",Phytotaxa 744(3): 272. 2026 [10 Mar 2026] ,Ophiopogon,,,
wfo-1000089039,urn:lsid:ipni.org:names:77377638-1,Liliaceae,Gagea deyuaniana,"J.Qiu, M.S.Lin & D.Y.Tan","Phytotaxa 744(3): 282. 2026 [10 Mar 2026] , as 'deyuanana'.",Gagea,,,
wfo-1000089041,urn:lsid:ipni.org:names:77377640-1,Convallariaceae,Aspidistra yichunensis,C.R.Lin & Y.You,Phytotaxa 744(3): 296. 2026 [10 Mar 2026] ,Aspidistra,,,
wfo-1200117723,urn:lsid:ipni.org:names:77377643-1,Crassulaceae,Aeonium aureum subsp. igneum,(O.Arango) Cristini,Cact. Explor. 29. 2025 [1 Dec 2025] ,Aeonium,,Crassulaceae Greenovia ignea O.Arango,(O.Arango)
wfo-1000089044,urn:lsid:ipni.org:names:77377651-1,Pittosporaceae,Pittosporum qibainongense,"Y.S.Huang, Yan Liu & Y.F.Deng",PhytoKeys 271: 274. 2026 [12 Mar 2026] ,Pittosporum,,,
wfo-1000089046,urn:lsid:ipni.org:names:77377653-1,Iridaceae,Alophia polycephala,(Baker) Chukr,Fl. Estad. Goiás e Tocantins 49: 6. 2021 ,Alophia,,Iridaceae Sphenostigma polycephalum Baker,(Baker)
wfo-1000089051,urn:lsid:ipni.org:names:77377660-1,Passifloraceae,Passiflora agudeloi,"L.A.Rodas, J.Ocampo & Mont.-Rubio",PhytoKeys 271: 286. 2026 [13 Mar 2026] ,Passiflora,,,
wfo-1200117727,urn:lsid:ipni.org:names:77377666-1,Ranunculaceae,Anemone patens subvar. taraoi,Makino,Bot. Mag. (Tokyo) 17: 39. 1903 ,Anemone,,,
wfo-1000089056,urn:lsid:ipni.org:names:77377668-1,Rhamnaceae,Gouania neglecta,Figueira,Phytotaxa 747(1): 96. 2026 [13 Mar 2026] ,Gouania,,,
wfo-1000089057,urn:lsid:ipni.org:names:77377669-1,Cyclanthaceae,Asplundia capixaba,E.S.Leal & Antar,Phytotaxa 747(1): 122. 2026 [13 Mar 2026] ,Asplundia,,,
wfo-1000089058,urn:lsid:ipni.org:names:77377670-1,Moraceae,Ficus montalvoana,Pedern.,Phytotaxa 747(1): 132. 2026 [13 Mar 2026] ,Ficus,,,
wfo-1200117785,urn:lsid:ipni.org:names:77377675-1,Vittariaceae,Vittaria lineata var. graminifolia,(Kaulf.) Fée,"Mém. Foug., 3. Hist. Vittar. 18 (t.3, f.8). 1852 ",Vittaria,,Vittariaceae Vittaria graminifolia Kaulf.,(Kaulf.)
wfo-1000089061,urn:lsid:ipni.org:names:77377783-1,Iridaceae,Iris cariciformis,Z.Zheng Zhang & G.X.Zhang,PhytoKeys 271: 303. 2026 [16 Mar 2026] ,Iris,,,
wfo-1000089062,urn:lsid:ipni.org:names:77377784-1,Alliaceae,Allium jammuense,"Sun.Singh, U.Sharma, Namr.Sharma, Anant Kumar & S.Thakur",New Zealand J. Bot. 64(1)-e70033: 3. 2026 [31 Jan 2026] ,Allium,,,
wfo-1000089063,urn:lsid:ipni.org:names:77377785-1,Alliaceae,Allium muliense,(Airy Shaw) D.Q.Huang & X.J.He,Cladistics 42(1): 18. 2025 [8 Oct 2025] ,Allium,,Alliaceae Allium hookeri Thwaites var. muliense Airy Shaw,(Airy Shaw)
wfo-1000089064,urn:lsid:ipni.org:names:77377786-1,Alliaceae,Allium xui,D.F.Xie & X.J.He,Cladistics 42(1): 19. 2025 [8 Oct 2025] ,Allium,,,
wfo-1000089067,urn:lsid:ipni.org:names:77377789-1,Araceae,Homalomena bungamerah,"Mustaqim, A.S.D.Irsyam & M.R.Hariri",Taiwania 71(2): 209. 2026 [16 Mar 2026] ,Homalomena,,,
wfo-1000089068,urn:lsid:ipni.org:names:77377790-1,Iridaceae,Iris valida,"(S.S.Chien) Z.Zheng Zhang, H.Tian Li & T.Y.Zuo",PhytoKeys 271: 307. 2026 [16 Mar 2026] ,Iris,,Iridaceae Iris pseudorossii S.S.Chien var. valida S.S.Chien,(S.S.Chien)
wfo-1000089070,urn:lsid:ipni.org:names:77377792-1,Iridaceae,Iris fujianensis,X.X.Su,PhytoKeys 271: 306. 2026 [16 Mar 2026] ,Iris,,,
