WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089530,urn:lsid:ipni.org:names:77378730-1,Asclepiadaceae,Jobinia anderssonii,"(Morillo) Meve, Liede & Morillo",Willdenowia 56(1): 160. 2026 [23 Feb 2026] ,Jobinia,,Asclepiadaceae Cynanchum anderssonii Morillo,(Morillo)
wfo-1000089531,urn:lsid:ipni.org:names:77378732-1,Lamiaceae,Microtoena javensis,"Santoso, Felayati & Sudarmono",Phytotaxa 752(1): 73. 2026 [17 Apr 2026] ,Microtoena,,,
wfo-1000089532,urn:lsid:ipni.org:names:77378733-1,Aristolochiaceae,Aristolochia ferox,"Y.Fan Wang, Z.R.Guo & Onyen.",PhytoKeys 273: 173. 2026 [17 Apr 2026] ,Aristolochia,,,
wfo-1000089546,urn:lsid:ipni.org:names:77378747-1,Lecythidaceae,Gustavia crassifolia,S.A.Mori ex Cornejo,J. Bot. Res. Inst. Texas 20(1): 64. 2026 [15 Apr 2026] ,Gustavia,,,
wfo-1000089547,urn:lsid:ipni.org:names:77378748-1,Euphorbiaceae,Tragia maculata,Urtecho,J. Bot. Res. Inst. Texas 20(1): 53. 2026 [15 Apr 2026] ,Tragia,,,
wfo-1000089548,urn:lsid:ipni.org:names:77378749-1,Euphorbiaceae,Tragia chiapensis,J.-B.Urtecho & Urtecho,J. Bot. Res. Inst. Texas 20(1): 58. 2026 [15 Apr 2026] ,Tragia,,,
wfo-1200118289,urn:lsid:ipni.org:names:77378751-1,Ranunculaceae,Clematis songorica var. serratifolia,Trautv.,Bull. Soc. Imp. Naturalistes Moscou 33(1): 56. 1860 (as 'soongorica var. serratifolia'),Clematis,,,
wfo-1200118290,urn:lsid:ipni.org:names:77378752-1,Ranunculaceae,Clematis songorica var. integrifolia,(Schrenk ex Fisch. & C.A.Mey.) Trautv.,Bull. Soc. Imp. Naturalistes Moscou 33(1): 55. 1860 (as 'soongorica var. integrifolia'),Clematis,,Ranunculaceae Clematis gebleriana Bong. var. integrifolia Schrenk ex Fisch. & C.A.Mey.,(Schrenk ex Fisch. & C.A.Mey.)
wfo-0000742181,urn:lsid:ipni.org:names:77378756-1,Ranunculaceae,Clematis songorica var. intermedia,Trautv.,Bull. Soc. Imp. Naturalistes Moscou 33(1): 56. 1860 (as 'soongorica var. intermedia'),Clematis,,,
wfo-1200118291,urn:lsid:ipni.org:names:77378757-1,Ranunculaceae,Clematis gebleriana var. integrifolia,Schrenk ex Fisch. & C.A.Mey.,Enum. Pl. Nov. [F.E.L. Fischer & C.A. Meyer] 1: 104. 1841 ,Clematis,,,
