WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000083520,urn:lsid:ipni.org:names:77374710-1,Asclepiadaceae,Secamone radiata,(Tsiang) Klack.,Blumea 69(3): 246. 2024 [5 Dec 2024] [epublished],Secamone,,Asclepiadaceae Toxocarpus glaucus Decne. var. radiatus Tsiang,(Tsiang)
wfo-1000083507,urn:lsid:ipni.org:names:77374713-1,Asclepiadaceae,Secamone commutata,Klack.,Blumea 69(3): 224. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1000083508,urn:lsid:ipni.org:names:77374714-1,Asclepiadaceae,Secamone crenata,Klack.,Blumea 69(3): 226. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1000083509,urn:lsid:ipni.org:names:77374717-1,Asclepiadaceae,Secamone edanoi,Klack.,Blumea 69(3): 227. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1000083511,urn:lsid:ipni.org:names:77374718-1,Asclepiadaceae,Secamone fusiformis,Klack.,Blumea 69(3): 232. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1000083512,urn:lsid:ipni.org:names:77374719-1,Asclepiadaceae,Secamone glandulifera,Klack.,Blumea 69(3): 232. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1200114058,urn:lsid:ipni.org:names:77374720-1,Asclepiadaceae,Toxocarpus merrillii f. leptus,Tsiang,Sunyatsenia 4: 67. 1939 ,Toxocarpus,,,
wfo-1000083514,urn:lsid:ipni.org:names:77374721-1,Asclepiadaceae,Secamone lepta,(Tsiang) Klack.,Blumea 69(3): 235. 2024 [5 Dec 2024] [epublished],Secamone,,Asclepiadaceae Toxocarpus merrillii Schltr. f. leptus Tsiang,(Tsiang)
wfo-1000083516,urn:lsid:ipni.org:names:77374722-1,Asclepiadaceae,Secamone luzonensis,Klack.,Blumea 63(3): 238. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1000087457,urn:lsid:ipni.org:names:77374723-1,Araceae,Hayarum albispathum,(Bogner) K.Z.Hein & Saensouk,Aroideana 48(2): 185. 2025 [1 Sep 2025] [epublished],Hayarum,,Araceae Typhonium albispathum Bogner,(Bogner)
wfo-1000083518,urn:lsid:ipni.org:names:77374724-1,Asclepiadaceae,Secamone mindanaensis,Klack.,Blumea 63(3): 246. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1000083519,urn:lsid:ipni.org:names:77374725-1,Asclepiadaceae,Secamone pyriformis,Klack.,Blumea 63(3): 246. 2024 [5 Dec 2024] [epublished],Secamone,,,
wfo-1000087458,urn:lsid:ipni.org:names:77374726-1,Araceae,Anthurium hootenii,Croat,Aroideana 48(2): 189. 2025 [1 Sep 2025] [epublished],Anthurium,,,
wfo-1000087459,urn:lsid:ipni.org:names:77374727-1,Araliaceae,Heptapleurum karsticola,"Kongx., Tak.Yamam. & Tagane",Phytotaxa 737(1): 4. 2026 [7 Jan 2026] [epublished],Heptapleurum,,,
wfo-1000087460,urn:lsid:ipni.org:names:77374728-1,Araliaceae,Trevesia laotica,"Kongx., Soulad. & Tagane",Phytotaxa 737(1): 7. 2026 [7 Jan 2026] [epublished],Trevesia,,,
wfo-0001105685,urn:lsid:ipni.org:names:77374730-1,Primulaceae,Lysimachia congestiflora var. atronervata,C.C.Wu,"Acta Phytotax. Sin. 9(4): 314. 1964 [Oct 1964] , as 'atro nervata'",Lysimachia,,,
wfo-1000087463,urn:lsid:ipni.org:names:77374736-1,Crassulaceae,Echeveria oswaldoana,J.Reyes & Islas,"Avonia 43(3): 180. 2025 , as 'oswaldiana'",Echeveria,"Epithet amended as per Art. 60.10, Ex. 38. ICN (2025).",,
wfo-1000087464,urn:lsid:ipni.org:names:77374737-1,Crassulaceae,Echeveria adrianae,"J.Reyes, O.Anguiano & Islas",Avonia 43(3): 186. 2025 ,Echeveria,,,
wfo-1000087465,urn:lsid:ipni.org:names:77374738-1,Crassulaceae,Echeveria mutisii,"J.Reyes, O.Anguiano & Gir.-Cañas",Avonia 43(3): 190. 2025 ,Echeveria,,,
wfo-1000087466,urn:lsid:ipni.org:names:77374739-1,Crassulaceae,Echeveria boyacaensis,"J.Reyes, Islas & O.Anguiano",Avonia 43(3): 190. 2025 ,Echeveria,,,
wfo-1000087470,urn:lsid:ipni.org:names:77374746-1,Loranthaceae,Phragmanthera bidaultii,Libalah & O.Lachenaud,Pl. Ecol. Evol. 159(1): 28. 2026 [19 Jan 2026] [epublished],Phragmanthera,,,
wfo-1000087473,urn:lsid:ipni.org:names:77374749-1,Lamiaceae,Paraphlomis aristata,"Tandang, Calaramo & Bucay",Phytotaxa 737(2): 79. 2026 [9 Jan 2026] [epublished],Paraphlomis,,,
wfo-1000087484,urn:lsid:ipni.org:names:77374762-1,Piperaceae,Peperomia kauaiana,K.R.Wood & W.L.Wagner,PhytoKeys 269: 114. 2026 [12 Jan 2026] [epublished],Peperomia,,,
wfo-1000087496,urn:lsid:ipni.org:names:77374775-1,Araceae,Arisaema calciphilum,R.E.Wyatt & A.H.Stoneb.,Aroideana 48(3): 7. 2025 [23 Dec 2025] [epublished],Arisaema,,,
wfo-1000087501,urn:lsid:ipni.org:names:77374780-1,Araceae,Arisaema allegheniense,R.E.Wyatt & A.H.Stoneb.,Aroideana 48(3): 16. 2025 [23 Dec 2025] [epublished],Arisaema,,,
wfo-1000087504,urn:lsid:ipni.org:names:77374783-1,Araceae,Arisaema striatum,R.E.Wyatt & A.H.Stoneb.,Aroideana 48(3): 23. 2025 [23 Dec 2025] [epublished],Arisaema,,,
wfo-1000087508,urn:lsid:ipni.org:names:77374787-1,Araceae,Arisaema purpurascens,R.E.Wyatt & A.H.Stoneb.,Aroideana 48(3): 31. 2025 [23 Dec 2025] [epublished],Arisaema,,,
